,precision,recall,f1-score,support
0,0.6363636363636364,0.6666666666666666,0.6511627906976744,21.0
1,0.8636363636363636,0.8636363636363636,0.8636363636363636,22.0
2,0.6666666666666666,0.5555555555555556,0.606060606060606,18.0
3,0.5862068965517241,0.7083333333333334,0.6415094339622641,24.0
4,0.6666666666666666,0.4166666666666667,0.5128205128205129,24.0
5,0.6190476190476191,0.6842105263157895,0.6500000000000001,19.0
6,0.7222222222222222,0.8125,0.7647058823529411,16.0
7,0.68,0.7727272727272727,0.7234042553191491,22.0
8,0.5714285714285714,0.7058823529411765,0.6315789473684211,17.0
9,0.25,0.17647058823529413,0.20689655172413793,17.0
accuracy,0.64,0.64,0.64,0.64
macro avg,0.6262238642583469,0.6362649326078118,0.6251775343942071,200.0
weighted avg,0.6333717395631189,0.64,0.6302084972788529,200.0
