,precision,recall,f1-score,support
0blues,0.6818181818181818,0.7142857142857143,0.6976744186046512,21.0
1classical,0.8571428571428571,0.8181818181818182,0.8372093023255814,22.0
2country,0.5789473684210527,0.6111111111111112,0.5945945945945946,18.0
3disco,0.6296296296296297,0.7083333333333334,0.6666666666666667,24.0
4hiphop,0.7777777777777778,0.5833333333333334,0.6666666666666666,24.0
5jazz,0.65,0.6842105263157895,0.6666666666666667,19.0
6metal,0.7368421052631579,0.875,0.7999999999999999,16.0
7pop,0.8888888888888888,0.7272727272727273,0.7999999999999999,22.0
8reggae,0.6111111111111112,0.6470588235294118,0.6285714285714287,17.0
9rock,0.3888888888888889,0.4117647058823529,0.39999999999999997,17.0
accuracy,0.68,0.68,0.68,0.68
macro avg,0.6801046808941547,0.6780552093245593,0.6758049744096257,200.0
weighted avg,0.6903459216222374,0.68,0.6816242554847206,200.0
